Europawahl 2019;;;;Stand:;5/27/19 16:16;;;;;;;;;;;;;;;;;;;;;
Nr.;Name;Wahlbe-;abgegeb.;Wahlbet.;ungültige;;gültige;;ÖVP;;SPÖ;;FPÖ;;GRÜNE;;NEOS;;KPÖ;;EUROPA;;erste Eingabe;;letzte Eingabe;
;;rechtigte;;in %;Stimmen;in %;Stimmen;in %;Stimmen;Ant. %;Stimmen;Ant. %;Stimmen;Ant. %;Stimmen;Ant. %;Stimmen;Ant. %;Stimmen;Ant. %;Stimmen;Ant. %;Datum;Zeit;Datum;Zeit
41215;Mettmach;1907;875;45,88;21;2,4;854;97,6;357;41,8;115;13,47;290;33,96;48;5,62;31;3,63;9;1,05;4;0,47;26.05.2019;13:35:05;26.05.2019;13:35:05
41216;Mörschwang;268;168;62,69;3;1,79;165;98,21;88;53,33;5;3,03;24;14,55;26;15,76;22;13,33;0;0;0;0;26.05.2019;12:45:16;26.05.2019;12:45:16
41217;Mühlheim am Inn;532;273;51,32;5;1,83;268;98,17;103;38,43;62;23,13;62;23,13;26;9,7;12;4,48;2;0,75;1;0,37;26.05.2019;13:26:19;26.05.2019;13:26:19
41218;Neuhofen im Innkreis;1928;1098;56,95;19;1,73;1079;98,27;432;40,04;196;18,16;228;21,13;126;11,68;85;7,88;3;0,28;9;0,83;26.05.2019;14:51:16;26.05.2019;14:51:16
41219;Obernberg am Inn;1154;472;40,9;10;2,12;462;97,88;160;34,63;76;16,45;145;31,39;54;11,69;22;4,76;0;0;5;1,08;26.05.2019;13:42:20;26.05.2019;13:42:20
41220;Ort im Innkreis;936;437;46,69;7;1,6;430;98,4;181;42,09;51;11,86;135;31,4;46;10,7;15;3,49;1;0,23;1;0,23;26.05.2019;12:52:04;26.05.2019;12:52:04
41221;Pattigham;756;398;52,65;7;1,76;391;98,24;185;47,31;42;10,74;87;22,25;50;12,79;21;5,37;4;1,02;2;0,51;26.05.2019;12:38:10;26.05.2019;12:38:10
41222;Peterskirchen;580;340;58,62;5;1,47;335;98,53;201;60;28;8,36;67;20;22;6,57;10;2,99;5;1,49;2;0,6;26.05.2019;14:04:37;26.05.2019;14:04:37
41223;Pramet;828;467;56,4;1;0,21;466;99,79;225;48,28;66;14,16;111;23,82;30;6,44;25;5,36;5;1,07;4;0,86;26.05.2019;13:54:23;26.05.2019;13:54:23
41224;Reichersberg;1161;573;49,35;12;2,09;561;97,91;249;44,39;66;11,76;135;24,06;71;12,66;33;5,88;3;0,53;4;0,71;26.05.2019;13:28:05;26.05.2019;13:28:05
41225;Ried im Innkreis;8334;3875;46,5;58;1,5;3817;98,5;1207;31,62;855;22,4;831;21,77;560;14,67;305;7,99;30;0,79;29;0,76;26.05.2019;16:27:44;26.05.2019;16:27:44
41226;St.Georgen b. Obernberg am Inn;458;263;57,42;2;0,76;261;99,24;175;67,05;16;6,13;25;9,58;33;12,64;11;4,21;1;0,38;0;0;26.05.2019;13:04:34;26.05.2019;13:19:48
41227;St.Marienkirchen am Hausruck;686;453;66,03;7;1,55;446;98,45;224;50,22;34;7,62;103;23,09;56;12,56;27;6,05;2;0,45;0;0;26.05.2019;13:23:31;26.05.2019;13:23:31
41228;St.Martin im Innkreis;1345;632;46,99;9;1,42;623;98,58;241;38,68;109;17,5;144;23,11;85;13,64;41;6,58;1;0,16;2;0,32;26.05.2019;13:44:08;26.05.2019;13:44:08
41229;Schildorn;964;466;48,34;6;1,29;460;98,71;209;45,43;84;18,26;90;19,57;39;8,48;30;6,52;5;1,09;3;0,65;26.05.2019;12:45:51;26.05.2019;12:45:51
41230;Senftenbach;613;334;54,49;9;2,69;325;97,31;162;49,85;49;15,08;65;20;27;8,31;20;6,15;2;0,62;0;0;26.05.2019;13:10:01;26.05.2019;13:10:01
41231;Taiskirchen im Innkreis;1962;1044;53,21;23;2,2;1021;97,8;451;44,17;115;11,26;243;23,8;142;13,91;51;5;6;0,59;13;1,27;26.05.2019;14:28:48;26.05.2019;14:28:48
41232;Tumeltsham;1263;629;49,8;13;2,07;616;97,93;288;46,75;58;9,42;136;22,08;83;13,47;43;6,98;3;0,49;5;0,81;26.05.2019;12:52:30;26.05.2019;12:52:30
41233;Utzenaich;1191;617;51,81;17;2,76;600;97,24;279;46,5;101;16,83;137;22,83;48;8;26;4,33;2;0,33;7;1,17;26.05.2019;12:52:58;26.05.2019;12:52:58
41234;Waldzell;1763;831;47,14;13;1,56;818;98,44;366;44,74;141;17,24;221;27,02;54;6,6;31;3,79;3;0,37;2;0,24;26.05.2019;14:45:06;26.05.2019;14:45:06
41235;Weilbach;487;263;54;7;2,66;256;97,34;136;53,13;26;10,16;62;24,22;17;6,64;10;3,91;4;1,56;1;0,39;26.05.2019;13:07:56;26.05.2019;13:07:56
41236;Wippenham;459;265;57,73;9;3,4;256;96,6;107;41,8;58;22,66;55;21,48;18;7,03;17;6,64;1;0,39;0;0;26.05.2019;12:32:12;26.05.2019;12:32:12
41299;Wahlkarten Ried im Innkreis;0;4460;0;45;1,01;4415;98,99;1670;37,83;896;20,29;775;17,55;727;16,47;286;6,48;27;0,61;34;0,77;27.05.2019;13:40:05;27.05.2019;13:40:05
41300;Rohrbach;45710;29226;63,94;560;1,92;28666;98,08;14143;49,34;4604;16,06;4680;16,33;3172;11,07;1743;6,08;134;0,47;190;0,66;26.05.2019;16:23:54;27.05.2019;12:37:42
41304;Altenfelden;1817;1054;58,01;30;2,85;1024;97,15;453;44,24;168;16,41;232;22,66;106;10,35;55;5,37;3;0,29;7;0,68;26.05.2019;14:28:43;26.05.2019;14:28:43
41305;Arnreit;908;590;64,98;7;1,19;583;98,81;345;59,18;65;11,15;75;12,86;63;10,81;31;5,32;0;0;4;0,69;26.05.2019;13:02:03;26.05.2019;13:02:03
41306;Atzesberg;365;243;66,58;4;1,65;239;98,35;129;53,97;27;11,3;56;23,43;14;5,86;12;5,02;0;0;1;0,42;26.05.2019;13:14:11;26.05.2019;13:14:11
41307;Auberg;432;264;61,11;4;1,52;260;98,48;151;58,08;25;9,62;48;18,46;23;8,85;13;5;0;0;0;0;26.05.2019;13:17:56;26.05.2019;13:17:56
41309;Haslach an der Mühl;2092;1164;55,64;37;3,18;1127;96,82;407;36,11;328;29,1;162;14,37;148;13,13;62;5,5;10;0,89;10;0,89;26.05.2019;14:29:05;26.05.2019;14:29:05
41311;Hörbich;328;201;61,28;8;3,98;193;96,02;121;62,69;10;5,18;44;22,8;13;6,74;4;2,07;0;0;1;0,52;26.05.2019;13:42:19;26.05.2019;13:42:19
41312;Hofkirchen im Mühlkreis;1225;676;55,18;10;1,48;666;98,52;331;49,7;118;17,72;107;16,07;66;9,91;42;6,31;0;0;2;0,3;26.05.2019;13:33:19;26.05.2019;13:33:19
41313;Julbach;1290;575;44,57;14;2,43;561;97,57;259;46,17;166;29,59;76;13,55;29;5,17;28;4,99;1;0,18;2;0,36;26.05.2019;13:48:01;26.05.2019;13:48:01
41314;Kirchberg ob der Donau;869;481;55,35;9;1,87;472;98,13;239;50,64;82;17,37;70;14,83;39;8,26;36;7,63;4;0,85;2;0,42;26.05.2019;13:25:27;26.05.2019;13:25:27
41315;Klaffer am Hochficht;1069;497;46,49;7;1,41;490;98,59;221;45,1;102;20,82;114;23,27;38;7,76;12;2,45;2;0,41;1;0,2;26.05.2019;13:00:01;26.05.2019;13:00:01
41316;Kleinzell im Mühlkreis;1314;725;55,18;18;2,48;707;97,52;310;43,85;152;21,5;93;13,15;87;12,31;51;7,21;7;0,99;7;0,99;26.05.2019;13:59:11;26.05.2019;13:59:11
41317;Kollerschlag;1202;621;51,66;14;2,25;607;97,75;357;58,81;78;12,85;118;19,44;32;5,27;20;3,29;0;0;2;0,33;26.05.2019;15:29:59;26.05.2019;15:29:59
41318;Lembach im Mühlkreis;1232;651;52,84;14;2,15;637;97,85;289;45,37;96;15,07;140;21,98;61;9,58;41;6,44;4;0,63;6;0,94;26.05.2019;16:23:54;26.05.2019;16:23:54
41319;Lichtenau im Mühlkreis;406;188;46,31;6;3,19;182;96,81;111;60,99;23;12,64;33;18,13;7;3,85;6;3,3;0;0;2;1,1;26.05.2019;13:00:07;26.05.2019;13:00:07
41320;Nebelberg;505;296;58,61;2;0,68;294;99,32;166;56,46;69;23,47;31;10,54;23;7,82;3;1,02;0;0;2;0,68;26.05.2019;14:14:31;26.05.2019;14:14:31
41321;Neufelden;936;530;56,62;11;2,08;519;97,92;233;44,89;90;17,34;69;13,29;86;16,57;34;6,55;1;0,19;6;1,16;26.05.2019;14:20:16;26.05.2019;14:20:16
41322;Niederkappel;801;483;60,3;13;2,69;470;97,31;270;57,45;43;9,15;99;21,06;24;5,11;27;5,74;1;0,21;6;1,28;26.05.2019;14:20:37;26.05.2019;14:20:37
41323;Niederwaldkirchen;1469;858;58,41;9;1,05;849;98,95;453;53,36;123;14,49;126;14,84;80;9,42;62;7,3;2;0,24;3;0,35;26.05.2019;13:07:59;26.05.2019;13:07:59
41324;Oberkappel;537;268;49,91;4;1,49;264;98,51;180;68,18;34;12,88;36;13,64;8;3,03;5;1,89;0;0;1;0,38;26.05.2019;13:59:17;26.05.2019;13:59:17
41325;Oepping;1308;702;53,67;11;1,57;691;98,43;364;52,68;92;13,31;112;16,21;64;9,26;51;7,38;2;0,29;6;0,87;26.05.2019;13:57:19;26.05.2019;13:57:19
41326;Peilstein im Mühlviertel;1268;677;53,39;21;3,1;656;96,9;377;57,47;112;17,07;104;15,85;36;5,49;22;3,35;0;0;5;0,76;26.05.2019;15:02:55;26.05.2019;15:02:55
41327;Pfarrkirchen im Mühlkreis;1166;640;54,89;7;1,09;633;98,91;390;61,61;47;7,42;96;15,17;71;11,22;24;3,79;1;0,16;4;0,63;26.05.2019;14:35:37;26.05.2019;14:35:37
41328;Putzleinsdorf;1251;695;55,56;19;2,73;676;97,27;379;56,07;70;10,36;101;14,94;75;11,09;44;6,51;6;0,89;1;0,15;26.05.2019;15:11:22;26.05.2019;15:11:22
41329;Neustift im Mühlkreis;1153;634;54,99;12;1,89;622;98,11;365;58,68;88;14,15;61;9,81;71;11,41;35;5,63;0;0;2;0,32;26.05.2019;13:42:24;26.05.2019;13:42:24
41331;St.Johann am Wimberg;817;476;58,26;5;1,05;471;98,95;216;45,86;46;9,77;125;26,54;54;11,46;22;4,67;1;0,21;7;1,49;26.05.2019;13:00:11;26.05.2019;13:00:11
41332;St.Martin im Mühlkreis;2987;1728;57,85;30;1,74;1698;98,26;792;46,64;312;18,37;270;15,9;195;11,48;116;6,83;3;0,18;10;0,59;26.05.2019;14:14:56;26.05.2019;18:04:47
41333;St.Oswald bei Haslach;407;248;60,93;9;3,63;239;96,37;115;48,12;47;19,67;41;17,15;20;8,37;12;5,02;2;0,84;2;0,84;26.05.2019;13:00:16;26.05.2019;13:00:16
41334;St.Peter am Wimberg;1448;888;61,33;16;1,8;872;98,2;489;56,08;124;14,22;86;9,86;91;10,44;73;8,37;4;0,46;5;0,57;26.05.2019;14:03:45;26.05.2019;14:03:45
41336;St.Ulrich im Mühlkreis;513;318;61,99;12;3,77;306;96,23;163;53,27;38;12,42;37;12,09;48;15,69;17;5,56;3;0,98;0;0;26.05.2019;13:00:20;26.05.2019;13:00:20
41337;St.Veit im Mühlkreis;988;581;58,81;11;1,89;570;98,11;299;52,46;63;11,05;100;17,54;61;10,7;44;7,72;0;0;3;0,53;26.05.2019;13:10:04;26.05.2019;13:10:04
41338;Sarleinsbach;1844;1106;59,98;21;1,9;1085;98,1;631;58,16;120;11,06;163;15,02;106;9,77;58;5,35;4;0,37;3;0,28;26.05.2019;14:22:57;26.05.2019;14:22:57
41341;Schwarzenberg am Böhmerwald;457;266;58,21;1;0,38;265;99,62;153;57,74;38;14,34;54;20,38;13;4,91;6;2,26;1;0,38;0;0;26.05.2019;13:17:13;26.05.2019;13:17:13
41342;Ulrichsberg;2351;1284;54,62;23;1,79;1261;98,21;600;47,58;180;14,27;270;21,41;117;9,28;80;6,34;10;0,79;4;0,32;26.05.2019;13:57:28;26.05.2019;13:57:28
41343;Aigen-Schlägl;2585;1321;51,1;19;1,44;1302;98,56;657;50,46;191;14,67;237;18,2;143;10,98;61;4,69;7;0,54;6;0,46;26.05.2019;15:19:18;26.05.2019;15:19:18
41344;Rohrbach-Berg;4191;2187;52,18;38;1,74;2149;98,26;1009;46,95;307;14,29;323;15,03;312;14,52;171;7,96;9;0,42;18;0,84;26.05.2019;16:02:12;26.05.2019;16:02:12
41345;Helfenberg;1270;777;61,18;11;1,42;766;98,58;352;45,95;130;16,97;156;20,37;74;9,66;42;5,48;8;1,04;4;0,52;26.05.2019;14:05:12;26.05.2019;14:05:12
41346;St.Stefan-Afiesl;909;541;59,52;8;1,48;533;98,52;297;55,72;68;12,76;91;17,07;52;9,76;22;4,13;1;0,19;2;0,38;26.05.2019;13:00:24;26.05.2019;13:00:24
41399;Wahlkarten Rohrbach;0;3792;0;65;1,71;3727;98,29;1470;39,44;732;19,64;524;14,06;622;16,69;299;8,02;37;0,99;43;1,15;27.05.2019;11:43:22;27.05.2019;12:37:42
41400;Schärding;44960;27055;60,18;417;1,54;26638;98,46;11815;44,35;4421;16,6;6277;23,56;2504;9,4;1349;5,06;114;0,43;158;0,59;26.05.2019;17:24:21;27.05.2019;13:34:36
41401;Altschwendt;542;337;62,18;10;2,97;327;97,03;151;46,18;61;18,65;65;19,88;33;10,09;14;4,28;1;0,31;2;0,61;26.05.2019;13:28:27;26.05.2019;13:28:27
41402;Andorf;4113;2328;56,6;49;2,1;2279;97,9;901;39,53;469;20,58;620;27,2;148;6,49;120;5,27;12;0,53;9;0,39;26.05.2019;16:40:50;26.05.2019;16:40:50
41403;Brunnenthal;1561;818;52,4;5;0,61;813;99,39;340;41,82;141;17,34;202;24,85;90;11,07;30;3,69;8;0,98;2;0,25;26.05.2019;14:53:10;26.05.2019;14:53:10
41404;Diersbach;1319;730;55,34;13;1,78;717;98,22;311;43,38;123;17,15;190;26,5;53;7,39;35;4,88;2;0,28;3;0,42;26.05.2019;14:45:40;26.05.2019;14:45:40
41405;Dorf an der Pram;852;483;56,69;4;0,83;479;99,17;280;58,46;55;11,48;79;16,49;35;7,31;25;5,22;2;0,42;3;0,63;26.05.2019;13:59:41;26.05.2019;13:59:41
41406;Eggerding;1064;598;56,2;6;1;592;99;330;55,74;60;10,14;131;22,13;36;6,08;31;5,24;2;0,34;2;0,34;26.05.2019;13:47:31;26.05.2019;13:54:22
41407;Engelhartszell;777;336;43,24;2;0,6;334;99,4;156;46,71;55;16,47;67;20,06;37;11,08;15;4,49;3;0,9;1;0,3;26.05.2019;13:38:49;26.05.2019;13:38:49
41408;Enzenkirchen;1451;740;51;14;1,89;726;98,11;286;39,39;105;14,46;253;34,85;45;6,2;28;3,86;2;0,28;7;0,96;26.05.2019;14:53:48;26.05.2019;14:53:48
41409;Esternberg;2377;1170;49,22;20;1,71;1150;98,29;588;51,13;140;12,17;277;24,09;86;7,48;48;4,17;5;0,43;6;0,52;26.05.2019;15:36:00;26.05.2019;15:36:00
41410;Freinberg;1122;546;48,66;7;1,28;539;98,72;287;53,25;86;15,96;111;20,59;32;5,94;21;3,9;2;0,37;0;0;26.05.2019;14:21:53;26.05.2019;14:21:53
41411;Kopfing im Innkreis;1638;837;51,1;11;1,31;826;98,69;367;44,43;114;13,8;252;30,51;48;5,81;36;4,36;7;0,85;2;0,24;26.05.2019;15:36:28;26.05.2019;15:36:28
41412;Mayrhof;249;175;70,28;2;1,14;173;98,86;99;57,23;8;4,62;50;28,9;10;5,78;6;3,47;0;0;0;0;26.05.2019;12:34:42;26.05.2019;12:34:42
41413;Münzkirchen;2094;1088;51,96;12;1,1;1076;98,9;501;46,56;164;15,24;264;24,54;90;8,36;48;4,46;4;0,37;5;0,46;26.05.2019;15:08:30;26.05.2019;15:08:30
41414;Raab;1828;980;53,61;16;1,63;964;98,37;375;38,9;109;11,31;295;30,6;124;12,86;50;5,19;4;0,41;7;0,73;26.05.2019;16:19:20;26.05.2019;16:19:20
41415;Rainbach im Innkreis;1184;659;55,66;7;1,06;652;98,94;300;46,01;113;17,33;161;24,69;46;7,06;29;4,45;0;0;3;0,46;26.05.2019;16:19:48;26.05.2019;16:19:48
41416;Riedau;1667;734;44,03;14;1,91;720;98,09;240;33,33;173;24,03;158;21,94;94;13,06;47;6,53;5;0,69;3;0,42;26.05.2019;15:36:52;26.05.2019;15:36:52
41417;St.Aegidi;1298;775;59,71;21;2,71;754;97,29;424;56,23;74;9,81;185;24,54;39;5,17;28;3,71;2;0,27;2;0,27;26.05.2019;15:08:54;26.05.2019;15:08:54
41418;St.Florian am Inn;2366;1185;50,08;20;1,69;1165;98,31;413;35,45;250;21,46;314;26,95;116;9,96;61;5,24;3;0,26;8;0,69;26.05.2019;14:48:30;26.05.2019;14:48:30
41419;St.Marienkirchen bei Schärding;1476;646;43,77;6;0,93;640;99,07;317;49,53;74;11,56;172;26,88;38;5,94;32;5;2;0,31;5;0,78;26.05.2019;14:00:26;26.05.2019;14:00:26
41420;St.Roman;1433;705;49,2;8;1,13;697;98,87;386;55,38;29;4,16;206;29,56;35;5,02;37;5,31;3;0,43;1;0,14;26.05.2019;13:40:52;26.05.2019;13:40:52
41421;St.Willibald;941;507;53,88;15;2,96;492;97,04;219;44,51;65;13,21;149;30,28;36;7,32;17;3,46;4;0,81;2;0,41;26.05.2019;14:22:19;26.05.2019;14:22:19
41422;Schärding;3694;1657;44,86;26;1,57;1631;98,43;530;32,5;441;27,04;367;22,5;201;12,32;76;4,66;4;0,25;12;0,74;26.05.2019;17:24:21;26.05.2019;17:24:21
41423;Schardenberg;1751;932;53,23;12;1,29;920;98,71;554;60,22;79;8,59;163;17,72;74;8,04;39;4,24;2;0,22;9;0,98;26.05.2019;16:55:59;26.05.2019;16:55:59
41424;Sigharting;676;419;61,98;12;2,86;407;97,14;224;55,04;38;9,34;91;22,36;28;6,88;23;5,65;0;0;3;0,74;26.05.2019;14:22:51;26.05.2019;14:22:51
41425;Suben;946;412;43,55;3;0,73;409;99,27;186;45,48;79;19,32;82;20,05;38;9,29;20;4,89;1;0,24;3;0,73;26.05.2019;13:28:34;26.05.2019;13:28:34
41426;Taufkirchen an der Pram;2295;1201;52,33;20;1,67;1181;98,33;481;40,73;232;19,64;295;24,98;90;7,62;73;6,18;4;0,34;6;0,51;26.05.2019;14:06:56;26.05.2019;14:06:56
41427;Vichtenstein;461;239;51,84;7;2,93;232;97,07;132;56,9;18;7,76;55;23,71;7;3,02;17;7,33;1;0,43;2;0,86;26.05.2019;13:28:38;26.05.2019;13:28:38
41428;Waldkirchen am Wesen;1012;595;58,79;16;2,69;579;97,31;287;49,57;105;18,13;123;21,24;30;5,18;25;4,32;3;0,52;6;1,04;26.05.2019;14:23:25;26.05.2019;14:23:25
41429;Wernstein am Inn;1208;646;53,48;9;1,39;637;98,61;272;42,7;126;19,78;145;22,76;52;8,16;32;5,02;2;0,31;8;1,26;26.05.2019;14:23:46;26.05.2019;14:23:46
41430;Zell an der Pram;1565;799;51,05;11;1,38;788;98,62;392;49,75;97;12,31;140;17,77;107;13,58;47;5,96;1;0,13;4;0,51;26.05.2019;14:39:06;26.05.2019;14:39:06
41499;Wahlkarten Schärding;0;3778;0;39;1,03;3739;98,97;1486;39,74;738;19,74;615;16,45;606;16,21;239;6,39;23;0,62;32;0,86;27.05.2019;13:34:36;27.05.2019;13:34:36
41500;Steyr-Land;48235;32027;66,4;600;1,87;31427;98,13;11619;36,97;8108;25,8;5432;17,28;3818;12,15;2058;6,55;162;0,52;230;0,73;26.05.2019;15:57:29;27.05.2019;12:58:53
41501;Adlwang;1480;765;51,69;16;2,09;749;97,91;363;48,46;95;12,68;146;19,49;93;12,42;41;5,47;1;0,13;10;1,34;26.05.2019;13:35:41;26.05.2019;13:35:41
41502;Aschach an der Steyr;1907;1150;60,3;26;2,26;1124;97,74;413;36,74;250;22,24;181;16,1;152;13,52;112;9,96;6;0,53;10;0,89;26.05.2019;13:40:26;26.05.2019;13:40:26
41503;Bad Hall;4021;1864;46,36;25;1,34;1839;98,66;677;36,81;428;23,27;349;18,98;216;11,75;148;8,05;8;0,44;13;0,71;26.05.2019;15:57:29;26.05.2019;15:57:29
41504;Dietach;2498;1437;57,53;30;2,09;1407;97,91;532;37,81;348;24,73;203;14,43;207;14,71;106;7,53;3;0,21;8;0,57;26.05.2019;14:39:52;26.05.2019;14:39:52
41505;Gaflenz;1538;835;54,29;23;2,75;812;97,25;403;49,63;126;15,52;157;19,33;71;8,74;50;6,16;3;0,37;2;0,25;26.05.2019;14:40:03;26.05.2019;14:40:03
41506;Garsten;5218;3026;57,99;52;1,72;2974;98,28;1057;35,54;732;24,61;540;18,16;413;13,89;184;6,19;22;0,74;26;0,87;26.05.2019;15:42:46;26.05.2019;15:42:46
41507;Großraming;2165;1331;61,48;34;2,55;1297;97,45;522;40,25;375;28,91;190;14,65;115;8,87;75;5,78;10;0,77;10;0,77;26.05.2019;15:35:32;26.05.2019;15:35:32
41508;Laussa;1025;604;58,93;12;1,99;592;98,01;266;44,93;122;20,61;98;16,55;62;10,47;31;5,24;6;1,01;7;1,18;26.05.2019;14:18:34;26.05.2019;14:18:34
41509;Losenstein;1304;659;50,54;11;1,67;648;98,33;227;35,03;189;29,17;104;16,05;90;13,89;26;4,01;6;0,93;6;0,93;26.05.2019;13:44:19;26.05.2019;13:44:19
41510;Maria Neustift;1288;785;60,95;22;2,8;763;97,2;417;54,65;84;11,01;169;22,15;52;6,82;33;4,33;4;0,52;4;0,52;26.05.2019;15:00:05;26.05.2019;15:00:05
41511;Pfarrkirchen bei Bad Hall;1827;937;51,29;13;1,39;924;98,61;344;37,23;239;25,87;183;19,81;99;10,71;51;5,52;6;0,65;2;0,22;26.05.2019;13:55:33;26.05.2019;13:55:33
41512;Reichraming;1447;818;56,53;17;2,08;801;97,92;180;22,47;362;45,19;134;16,73;78;9,74;40;4,99;2;0,25;5;0,62;26.05.2019;14:40:14;26.05.2019;14:40:14
41513;Rohr im Kremstal;1084;567;52,31;9;1,59;558;98,41;211;37,81;127;22,76;109;19,53;70;12,54;37;6,63;2;0,36;2;0,36;26.05.2019;13:35:48;26.05.2019;13:35:48
41514;St.Ulrich bei Steyr;2507;1489;59,39;29;1,95;1460;98,05;618;42,33;313;21,44;257;17,6;172;11,78;86;5,89;4;0,27;10;0,68;26.05.2019;15:13:41;26.05.2019;15:13:41
41515;Schiedlberg;995;586;58,89;12;2,05;574;97,95;324;56,45;83;14,46;83;14,46;46;8,01;35;6,1;2;0,35;1;0,17;26.05.2019;13:36:02;26.05.2019;13:36:02
41516;Sierning;7369;4316;58,57;98;2,27;4218;97,73;1212;28,73;1434;34;806;19,11;440;10,43;272;6,45;18;0,43;36;0,85;26.05.2019;15:32:05;26.05.2019;15:32:05
41517;Ternberg;2782;1489;53,52;29;1,95;1460;98,05;568;38,9;367;25,14;261;17,88;168;11,51;77;5,27;5;0,34;14;0,96;26.05.2019;15:26:22;26.05.2019;15:26:22
41518;Waldneukirchen;1774;1061;59,81;12;1,13;1049;98,87;448;42,71;190;18,11;217;20,69;98;9,34;87;8,29;3;0,29;6;0,57;26.05.2019;13:59:30;26.05.2019;13:59:30
41521;Wolfern;2594;1490;57,44;27;1,81;1463;98,19;659;45,04;300;20,51;266;18,18;150;10,25;73;4,99;6;0,41;9;0,62;26.05.2019;13:36:08;26.05.2019;13:36:08
41522;Weyer;3412;1823;53,43;33;1,81;1790;98,19;615;34,36;528;29,5;310;17,32;204;11,4;118;6,59;9;0,5;6;0,34;26.05.2019;14:14:15;26.05.2019;14:14:15
41599;Wahlkarten Steyr-Land;0;4995;0;70;1,4;4925;98,6;1563;31,74;1416;28,75;669;13,58;822;16,69;376;7,63;36;0,73;43;0,87;27.05.2019;12:50:03;27.05.2019;12:58:53
41600;Urfahr-Umgebung;68847;47875;69,54;889;1,86;46986;98,14;17798;37,88;10220;21,75;6482;13,8;7967;16,96;3800;8,09;304;0,65;415;0,88;26.05.2019;17:25:32;27.05.2019;15:35:20
41601;Alberndorf in der Riedmark;3294;1849;56,13;34;1,84;1815;98,16;764;42,09;339;18,68;344;18,95;212;11,68;117;6,45;19;1,05;20;1,1;26.05.2019;14:03:33;26.05.2019;14:03:33
41602;Altenberg bei Linz;3650;2347;64,3;47;2;2300;98;1032;44,87;361;15,7;331;14,39;325;14,13;217;9,43;11;0,48;23;1;26.05.2019;15:38:35;26.05.2019;15:38:35
41603;Bad Leonfelden;3347;1922;57,42;78;4,06;1844;95,94;900;48,81;263;14,26;317;17,19;217;11,77;123;6,67;9;0,49;15;0,81;26.05.2019;14:12:31;26.05.2019;14:12:31
41604;Eidenberg;1708;1045;61,18;25;2,39;1020;97,61;533;52,25;152;14,9;111;10,88;134;13,14;78;7,65;7;0,69;5;0,49;26.05.2019;14:16:28;26.05.2019;14:16:28
41605;Engerwitzdorf;7069;4133;58,47;91;2,2;4042;97,8;1388;34,34;933;23,08;643;15,91;677;16,75;330;8,16;24;0,59;47;1,16;26.05.2019;17:24:20;26.05.2019;17:24:20
41606;Feldkirchen an der Donau;4414;2477;56,12;48;1,94;2429;98,06;865;35,61;622;25,61;434;17,87;335;13,79;148;6,09;10;0,41;15;0,62;26.05.2019;14:05:25;26.05.2019;14:05:25
41607;Gallneukirchen;5191;2959;57;46;1,55;2913;98,45;794;27,26;838;28,77;348;11,95;607;20,84;284;9,75;21;0,72;21;0,72;26.05.2019;16:32:42;26.05.2019;16:32:42
41608;Goldwörth;693;385;55,56;4;1,04;381;98,96;173;45,41;84;22,05;54;14,17;46;12,07;21;5,51;2;0,52;1;0,26;26.05.2019;12:42:37;26.05.2019;12:42:37
41609;Gramastetten;4168;2378;57,05;51;2,14;2327;97,86;980;42,11;402;17,28;271;11,65;402;17,28;231;9,93;14;0,6;27;1,16;26.05.2019;14:32:02;26.05.2019;14:32:02
41610;Haibach im Mühlkreis;751;443;58,99;9;2,03;434;97,97;208;47,93;73;16,82;70;16,13;55;12,67;21;4,84;1;0,23;6;1,38;26.05.2019;12:49:22;26.05.2019;12:49:22
41611;Hellmonsödt;1912;1040;54,39;9;0,87;1031;99,13;387;37,54;213;20,66;167;16,2;167;16,2;87;8,44;9;0,87;1;0,1;26.05.2019;14:01:58;26.05.2019;14:01:58
41612;Herzogsdorf;2132;1175;55,11;36;3,06;1139;96,94;569;49,96;162;14,22;208;18,26;117;10,27;73;6,41;4;0,35;6;0,53;26.05.2019;14:01:41;26.05.2019;14:01:41
41613;Kirchschlag bei Linz;1728;1001;57,93;21;2,1;980;97,9;403;41,12;149;15,2;147;15;178;18,16;94;9,59;1;0,1;8;0,82;26.05.2019;14:33:07;26.05.2019;14:33:07
41614;Lichtenberg;2190;1380;63,01;18;1,3;1362;98,7;520;38,18;275;20,19;144;10,57;246;18,06;156;11,45;8;0,59;13;0,95;26.05.2019;14:23:00;26.05.2019;14:23:00
41615;Oberneukirchen;2589;1473;56,89;39;2,65;1434;97,35;640;44,63;248;17,29;217;15,13;216;15,06;100;6,97;4;0,28;9;0,63;26.05.2019;14:38:58;26.05.2019;14:38:58
41616;Ottenschlag im Mühlkreis;433;249;57,51;9;3,61;240;96,39;115;47,92;50;20,83;49;20,42;10;4,17;11;4,58;3;1,25;2;0,83;26.05.2019;12:44:04;26.05.2019;12:44:04
41617;Ottensheim;3754;2238;59,62;24;1,07;2214;98,93;718;32,43;439;19,83;213;9,62;604;27,28;205;9,26;18;0,81;17;0,77;26.05.2019;15:14:00;26.05.2019;15:14:00
41618;Puchenau;3655;2109;57,7;24;1,14;2085;98,86;637;30,55;470;22,54;250;11,99;479;22,97;215;10,31;14;0,67;20;0,96;26.05.2019;17:25:32;26.05.2019;17:25:32
